"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-40007","	mi vida en una palabra está deprimiendo	","sadness", 0.917
"2017-En-20256","	 siente gusta no hay ninguna casa allí para nosotros . Con los requisitos más básicos  tengo, hay literalmente ninguna opción. #Desanimado	","sadness", 0.729
"2017-En-40989","	Yendo de informes encima Cielo, Stoke jugó vale esta noche. Piensa i'll estancia del messageboard esta noche aun así -lo será siniestro encima allí :/	","sadness", 0.646
"2017-En-41423","	 estoy buscando un rock de promotor #bueno #blues	","sadness", 0.188
"2017-En-40457","	Niggas murking en cada otro . En murky agua,  intento nadar.	","sadness", 0.438
"2017-En-40343","	@username George H . El establecimiento es Triunfo infeliz  campaña branded su hijo abajo-energía, pero no pueda haber batido el otros tampoco.	","sadness", 0.521
"2017-En-40045","	Bien mi evaluación volvió e i soy minimally eficaz . Puntuaciones de prueba del estudiante en el PARCC hundidos mi eval . Es tiempo para mí para dejar enseñando	","sadness", 0.812
"2017-En-40952","	Justo logrado numk seguidores - UAU - gracias blues #mcfc #ctid	","sadness", 0.250
"2017-En-41015","	Esta noche, la habitación contaminada con jeringuillas, las libretas y las sombras que mueven, esta clase de noche! Fuera melancholy, fuera!	","sadness", 0.633
"2017-En-41368","	Tú para siempre directamente así que fija aquello arruga la frente u bueno 😇 @username	","sadness", 0.083
"2017-En-40920","	@username @username siniestro tendría que encontrar roto Mate fuerte porque  pueda eliminar todo lol	","sadness", 0.292
"2017-En-41030","	Cualquiera sabe un sitio bueno para reservar un espectáculo en #Montreal en corto pero no super-aviso corto ? #punkrock #postpunk #blues	","sadness", 0.229
"2017-En-40378","	La camarera me reconocí de último tiempo i era en allí moping, después de mi entrevista haha	","sadness", 0.500
"2017-En-41252","	@username I así que te deseas podría someday venido a España con el juego, no puedo creer no lo voy a ver #Residuos	","sadness", 0.708
"2017-En-40870","	tristes para me dejar consigue desalentado .	","sadness", 0.292
"2017-En-40737","	Honestamente no da af quién gana fuera de nosotros y pino, soy justo preocupado aproximadamente consiguiendo noche de sábado bebido😂	","sadness", 0.208
"2017-En-20731","	@username no . 😭 El último dos  éramos fuera-bidded . Así que  conseguíamos kinda desalentados tan ahora  estamos tomando nuestro tiempo dulce . El mercado es estúpido tho	","sadness", 0.583
"2017-En-40081","	@username @username @username incluso los hechos duros no parecen para ser hundiéndose en ... I desesperación 😩	","sadness", 0.750
"2017-En-40479","	El Sunderland línea de tiempo es bastante graciosa con todo el hado & gloom en afrontarnos y el viaje largo a nosotros midweek . #whatgoesaroundcomesaround	","sadness", 0.417
"2017-En-40336","	Siente siniestro no habiendo vuestras uñas hechas	","sadness", 0.542
"2017-En-40013","	yo sulk demasiado para mi propio bien .	","sadness", 0.896
"2017-En-20018","	 Consigo tanto PUSSY \ nP - el pánico ataca \ nU - uncontrollable ansiedad \ nS - fantasías suicidas \ nS - tristeza \ nY - anhelando la muerte	","sadness", 0.833
"2017-En-40146","	Con corazón leal está preocupada . #somber	","sadness", 0.688
"2017-En-41531","	 Estoy comprando suministros de arte y yo estoy debatiendo qué serios es para comprar pintura acrílica .	","sadness", 0.375
"2017-En-41455","	@username jeezus Tristeza	","sadness", 0.271
"2017-En-41211","	de resultado de Prueba #de dios	","sadness", 0.729
"2017-En-40259","	Tuvo que dejar en La Guitarra Azul, no podría estar carácter principal. Clase de skim-leído hasta el final cuál conseguía siniestro y unsettling . . . 1/2	","sadness", 0.583
"2017-En-41248","	oh, btw - después de que una 6 depresión de mes-tiempo libre  conseguía un relapse ahora... Magnífico	","sadness", 0.750
"2017-En-41170","	@username @username Pero  decidí ser un poco lackadaisical aproximadamente vistiéndose para conseguir víveres .	","sadness", 0.417
"2017-En-40779","	@username hmu Jugadores de necesidad para lans el año que viene . DM me . Necesidad jugadores serios . Im Bajo org	","sadness", 0.125
"2017-En-40634","	necesidad a sta datación otra vez . Yo m aburrido #redheadteen #boldandbeautiful #perdido #numaday los hombres solos que datan Schkeuditz	","sadness", 0.312
"2017-En-41476","	@username  sé tipos que se hunde $ nums al juego y sólo para construir un equipo y solos de juego . Pero esto oye  haces nada en solos .	","sadness", 0.271
"2017-En-40603","	Allí ' s shaytan en esta habitación wallahi su sido oscuro todo el tiempo ahora la lámpara es encima ! ! omg shaytan	","sadness", 0.333
"2017-En-40541","	Justo me dije la mujer allí era una posibilidad  sea num Sydney equipos en AFL final magnífica . Su respuesta : ' hay dos SYDNEY AFL equipos ? ' #Serio	","sadness", 0.375
"2017-En-41145","	@username tristemente foto bonita .	","sadness", 0.375
"2017-En-40945","	@username No . Era tan repentino . No se ha hundido en todavía . Con León I supo  venga .	","sadness", 0.542
"2017-En-40645","	 Necesito un syfy serie para mirar I literalmente tener nada para mirar atrás para respaldar . Ya miré #los héroes #perdieron #jericho #fallenskies etc etc	","sadness", 0.312
"2017-En-41208","	@username Complacer  no sulk sobre vuestra derrota . Venido encima . Cabeza arriba !	","sadness", 0.250
"2017-En-40941","	@username Y su mamá era peor que Tony sopranos mamá #uau #la historia #importante	","sadness", 0.417
"2017-En-40022","	está sido una semana de conectividad terrible con @username ningún servicio o sólo numG no es qué Im pagando para . #Infeliz #poorservice	","sadness", 0.870
"2017-En-40202","	no quiero la lástima de mis instructores pero yo gustarían algunos entendiendo . Verdaderamente estoy probando a pesar de TODAS las  circunstancias que me hago desalentado	","sadness", 0.625
"2017-En-41325","	@username marca seguro es Young breadrins nos lanzo un voto rápido #murky #skeng #votage	","sadness", 0.292
"2017-En-40655","	@username ~ junto . ' Hermione Bajado su voz ligeramente, sonando un poco  amargo, quizás incluso  rueful. 'Que sólo te conseguiría~	","sadness", 0.300
"2017-En-21346","	 el penique terrible justo cleaved de una fracción de mi Felicidad	","sadness", 0.521
"2017-En-40764","	de corazón es siempre allí . Justo tienes que escoger para verlo . Hay ninguna habitación de punto en el oscuro e ignorando la luz de las estrellas .	","sadness", 0.167
"2017-En-41370","	@username En el análisis final, el no-mayoría global blanca  no fret sobre el origen étnico de nuestros cadáveres.	","sadness", 0.458
"2017-En-41006","	Eres #serio que #fredsirieix vidas en Peckham ... El amor #propio de Londres del sur Guru ( grande arriba )	","sadness", 0.312
"2017-En-20834","	no deja el comportamiento de otros destruye ur paz interior . ' - Dalai Lama @username #intuición #de ansiedad #de depresión #de curación #libro #de meditación	","sadness", 0.583
"2017-En-40242","	nos Dejé no cargar nuestro remembrances con un heaviness aquello está ido . \ n - William Shakespeare ( num-num ) \ n #forja adelante .	","sadness", 0.604
"2017-En-21338","	@username Pero pienso que necesitamos experimentar un poco desesperación & de locura también . Esto es el material que nos hago humano .	","sadness", 0.521
"2017-En-41171","	@username  Tengo muchos memorias felices del Isle De Wight . \ n ... \ nBut yeah, se hunde que mierda.	","sadness", 0.479
"2017-En-41470","	Arriba en melancholy cerro	","sadness", 0.688
"2017-En-40494","	@username tristemente i se tiene que acostar ahora no anuncia cualquier cosa mientras i estoy ido da las gracias a u i amor tú	","sadness", 0.417
"2017-En-40756","	Tipos ! Leído mi #fanfiction si gustas #perdido y #housemd  tengo uno de cada #tvshow - enlace en bio !	","sadness", 0.188
"2017-En-40164","	@username Probado num consigue más temprano flt numday @username Turnd fuera bcuz lo era num tarde Entonces el agente dejado otro pas en #silvereliteleftbehind #infeliz	","sadness", 0.667
"2017-En-40398","	Cómo valiente es los particulares jóvenes que ha abierto hasta nosotros aproximadamente su #depresión y #ansiedad para ayudar levantan concienciación ! ! @username	","sadness", 0.479
"2017-En-40611","	Tiene cualquiera notó que @username historias en días recientes toda pintura positiva accomplishments para Triunfo y retos para Hillary ? #Sorprendió	","sadness", 0.333
"2017-En-20384","	@username justo tiene que manera de pensar,  quiere la esperanza absoluta nacida de desesperación absoluta.	","sadness", 0.583
"2017-En-40527","	Cam No puede ser serio con aquel IG correo y que fuente de asno estúpido  utiliza . Habría sido mejor a justo decir nada .	","sadness", 0.396
"2017-En-40914","	Es realmente triste cuándo no puedes ordenar bienes de porcelana y el gusta debido a Internet fraudsters ... Qué es este gobierno realmente haciendo .	","sadness", 0.625
"2017-En-40571","	@username Cómo podría  trabajo con @username . ? #Serio	","sadness", 0.354
"2017-En-41388","	Limpiar el #hundirse y hacer vuestro #brillo de baño .	","sadness", 0.121
"2017-En-40654","	@username Dejado les saber  es el	","sadness", 0.300
"2017-En-40657","	Sido trabajando en Blanchardstown centro comercial para sobre num años ahora y yo sólo representado fuera hoy dónde Marcas & Spencer es Después	","sadness", 0.292
"2017-En-40040","	está gastando £ num @username  estuve ofrecido un £ num vale .  Pregunté si  podría gastar él en fin de semana ? Fue dicho ' ningún válido hoy sólo ' #infeliz	","sadness", 0.814
"2017-En-40105","	Patti parece tan triste .  Estampe y corrió detrás del sofá .  Tendremos que dar su abundancia de amor y afecto ... Más de habitual . #Triste	","sadness", 0.729
"2017-En-40705","	@username será jugar en la Barra de Puente @username este sentado ( numth Sept ) #blues #rhythmandblues #ramelton #donegal	","sadness", 0.254
"2017-En-40211","	@username @username es Señora btw .  Éramos lied a por Quedar . Seco vuestro remainer lágrimas ; Justo aceptarte #perdió	","sadness", 0.625
"2017-En-40416","	Nunca dejarme sólo con mi tarjeta de crédito . Nope nope mope .	","sadness", 0.458
"2017-En-40082","	Así que deprimiendo que es más oscuro tanto más temprano ahora	","sadness", 0.750
"2017-En-22110","	Si  #inviertes en mi película #nueva  pararé preguntar te para invertir en mi película nueva . #Desesperación #de delito #de las concesiones #shortsightedness #celebridades	","sadness", 0.458
"2017-En-40209","	@username bc  es un gloomy día Tony	","sadness", 0.625
"2017-En-41464","	Henny y manzanas de pino 🤔	","sadness", 0.208
"2017-En-21926","	mañana serán el último episodio de desesperación arc, tanta mierda va a pasar i no soy emocionalmente preparó...	","sadness", 0.729
"2017-En-40940","	@username Y su mamá era peor que Tony sopranos mamá #uau #la historia #triste #importante	","sadness", 0.583
"2017-En-41362","	@username pegado el hundirse con un martillo ... Triste, el universal modifier!	","sadness", 0.375
"2017-En-40311","	* Esperas quietas para Yang . Suposición realmente necesita su sueño o algo . Los gatitos que sienten kinda dejected correctos ahora . * #Off-line	","sadness", 0.542
"2017-En-40017","	 es un gloomy día de asno	","sadness", 0.888
"2017-En-40895","	Mis sobrinos n los primos son en ninguna parte tipos malos cercanos, pero podrían ser matados @ cualquier momento por un cop aquello pensó que eran bc de su color #triste	","sadness", 0.812
"2017-En-40641","	@username Supine en los labios — de piano separaron . #sixwordstory #amwriting #blues #Papá	","sadness", 0.312
"2017-En-40696","	de cantante preguntado si  era demasiado hungover para funcionar hoy . Poco   sepa me quedé sereno anoche tan i podría conseguir la mierda afrontó esta noche 😅	","sadness", 0.271
"2017-En-40485","	@username \ nBreath .  Eres trending despondent . Clinton ganará . Si  mantienes vuestros guantes encima, guardia arriba, y a perforadora le gusta el infierno.	","sadness", 0.417
"2017-En-40501","	@username Tío de cambio del nombre Remus Lewis #foh #theydontlikeyoueither #unwoke	","sadness", 0.414
"2017-En-40685","	@username  tuve un helado italiano bueno whilst descansando mi cansado paws . La miel sazonó, naturalmente! #FurryTails #Perdió #Venice.	","sadness", 0.271
"2017-En-40091","	im Tan gloomy hoy	","sadness", 0.729
"2017-En-21163","	“ fácilmente podemos #perdonar un #niño que es #temeroso de la #oscuridad ; la tragedia #real de #vida es cuándo #hombres es #temeroso de la #luz . ” – Platón	","sadness", 0.458
"2017-En-40365","	@username tristemente hay constitucional CORRECTO de tener aborto . Todavía hay constitucional CORRECTO a vida . Red de seguridad protege aquellos derechos	","sadness", 0.514
"2017-En-41136","	@username @username @username los idiotas se van a hundir la economía con políticas de dinero libre .	","sadness", 0.375
"2017-En-41216","	Semana de moda este año es atenuar AF ! Alguien me inspiro ! ! ! 😩	","sadness", 0.438
"2017-En-41386","	@username oh, triste si  te he desalentado 😂	","sadness", 0.396
"2017-En-41082","	Un momento :\ nIf  matas él en el espíritu,  muera en el natural!!!'-@PRINCESSTAYE #Orgullo #de racismo  #de suicidio #de asesinato	","sadness", 0.583
"2017-En-41209","	me : i've de hecho sido haciendo bastante bien ! i Estoy aprendiendo para dirigir mi depresión y - \ nlife : yeah aquello es encima . Aquello está cancelado .	","sadness", 0.604
"2017-En-40068","	El noticioso es disheartening . Todo aquello está yendo en es un resultado de una carencia de comprensivo y misinformation por los medios de comunicación . #Tristeza	","sadness", 0.771
"2017-En-40788","	Un . num La estación es todo  estoy buscando al llegar a este punto . #Deprimiendo #royals	","sadness", 0.688
"2017-En-40639","	Nunca dejado me ver  arrugas la frente	","sadness", 0.312
"2017-En-40244","	@username POR QUÉ ? !   Te quieren hacer plomada en a las profundidades de desesperación ? ?	","sadness", 0.604
"2017-En-41294","	i cant Vivo anymore mi roblox conseguía termianted :( ( ( #killme #lol #robloxgamer	","sadness", 0.625
"2017-En-41405","	@username si  voy  voy a soplar algunos dinero serio, idk si aquello es un sacrificio soy dispuesto con hace	","sadness", 0.375
"2017-En-40916","	no puedo esperar para ti para escuchar a mi 'Misterio' solo nuevo y mi álbum nuevo 😋 . #newmusic #newsingle #newalbum #num #popmusic #Oscuridad	","sadness", 0.146
"2017-En-41255","	Pero adivinar qué ? Soy sereno	","sadness", 0.188
"2017-En-41307","	#Cita ' para decir que Te sabes sin nunca habiendo sido #perdido para Te encontrar, Es gusta decir  sabes todo' ~@Caligraphy215	","sadness", 0.312
"2017-En-41342","	@username @username @username @username Bien, soy demasiado viejo, y demasiado terco sobre hechos &amp; historia para ser desalentada.	","sadness", 0.442
"2017-En-40262","	Siempre que i pout i justo querer Adrian para aparecer y decirme para parar pouting o más	","sadness", 0.583
"2017-En-40371","	no quiere ir para trabajar pero  quiero el dinero	","sadness", 0.500
"2017-En-21717","	@username  sé si no fui un optimista yo  desesperación .	","sadness", 0.530
"2017-En-40898","	Si alguien mantiene #reír en ti,  no #fret  . Al menos u r dando #felicidad .'\n#Cita #quotestoliveby	","sadness", 0.229
"2017-En-41112","	@username pero @username drogado y violó aquellas mujeres . Al menos te y Barb era sereno y consintiendo ! !	","sadness", 0.396
"2017-En-41214","	El dios único sabe por qué las cosas pasan, a veces es justo duro de entender.  #prayingforyou	","sadness", 0.529
"2017-En-40721","	Estos asno crecido lil chicos yeah i no les puede tomar serio .	","sadness", 0.235
"2017-En-41261","	Este nigga  no incluso buscar su familia real 🙄 😂	","sadness", 0.250
"2017-En-41460","	 aparezca es un año bueno para el #blues	","sadness", 0.500
"2017-En-41339","	@username tristemente David D es ya no con nosotros imaginan ambos juntos uau	","sadness", 0.500
"2017-En-40933","	@username está consiguiendo tan cercano en vuestra encuesta tantos ignorante ppl . #Deprimiendo #doloroso algo necesita cambiar #BeTheChange ? Qué ?	","sadness", 0.854
"2017-En-41002","	@username Honestamente . Todo I cuidado aproximadamente es Selasi no messing esto arriba . Su lackadaisical la actitud no es bien para danishes .	","sadness", 0.396
"2017-En-40064","	 Hemos dejado #Maine . #Tristeza	","sadness", 0.771
"2017-En-40189","	El hecho no he tenido que llevar un sujetador para una semana y sabiendo  tendré que empezar llevando un otra vez después de que mañana está deprimiendo 🙄 🙄	","sadness", 0.646
"2017-En-40810","	@username justo oído atrás numback,  suposición es por eso que  lo llaman el blues &amp;  tiene la mirada, pero sólo puedo cantar tickle versión de sacos	","sadness", 0.375
"2017-En-41275","	Allí será ningún #gaming vídeo hoy . Un amigo viejo de mina pasó anoche, así que  estoy tomando algún tiempo para apenar. Gracias #StandUpToCancer	","sadness", 0.792
"2017-En-41471","	El discurso era intrépido coz lo no fue escrito por PM NS bt el tono / de expresión era su propio atenúa n dim	","sadness", 0.460
"2017-En-40522","	@username vas un ir al de el amaity aflicción ?	","sadness", 0.396
"2017-En-41497","	La vida es dura ., su más duro si ur tristeza #de amor #de vida #estúpida #sadderness #moreofsad #howdoestears #whatislife	","sadness", 0.847
"2017-En-41026","	Candice está estando pout la cara me agravo cada semana	","sadness", 0.333
"2017-En-40049","	Cuándo seguro de salud no cubrirá TMS pero  me dejamos saber  cubren ECT #mentalhealth #depresión #de psicología #TMS #ECT	","sadness", 0.811
"2017-En-40574","	Ahora ellos fret sobre scuffs . Yo ' ll tomar scuffs ( cuál … entrado ) para un teléfono puedo utilizar mojado entregado o gota en un lavabo cualquier día .	","sadness", 0.354
"2017-En-40407","	[ Mis dientes estuvieron hundidos abajo a la vena de la mujer pobre que tenido ' accidentalmente ' tenido un problema pequeño con su motor, justo exterior de --	","sadness", 0.479
"2017-En-40208","	@username Coquetea, simper, pout, repite. Yuck.	","sadness", 0.625
"2017-En-40392","	@username La solución es para castigar los delincuentes . Aquello es la manera única de desalentar delito . O el círculo continuará .	","sadness", 0.479
"2017-En-40009","	Siente tan siniestro + feo atm	","sadness", 0.896
"2017-En-40820","	MC : qué eres escucha a estos días ? \ nBogum : Estos días  siento gloomy,  escucho a ccm (canción espiritual) a menudo.\n\nChurch oppa Modo. :)	","sadness", 0.583
"2017-En-40998","	Esperando oír algunos serios @username esta noche	","sadness", 0.312
"2017-En-40258","	@username Espectáculo algún respeto, aquello es todo...  Si u havent va a guerra u cant decir cualquier cosa.. U havent Perdió amigos y compañeros encima guerra, así que Ahut lo!!	","sadness", 0.583
"2017-En-40184","	El odio que es sereno así que  reventé dos	","sadness", 0.653
"2017-En-40088","	@username  es super triste ! ! Especialmente cuándo  estás hablando a una persona real y no un bot ! Marcas sienta real :(	","sadness", 0.750
"2017-En-40310","	Enojado gritando partido entre un #pessimist & un #optimista :\ n' eres un medio vacío-encabezado @ % $ ! ' \ n'Eres medio lleno de @ % $ ! '	","sadness", 0.542
"2017-En-40360","	Alguien necesita decir Candice sea enganchada con aquel shitty pout si los cambios de viento . #GBBO	","sadness", 0.521
"2017-En-41436","	Honestamente hoy yo justo sentido gusta quizás la pista no es para mí #triste	","sadness", 0.708
"2017-En-40607","	Más #comprobando en #trabajar hoy \ n \ n #el café #bebió y ahora  es #abajo a algunos #serios #empresariales \ n \ n #el jueves trae el #viernes	","sadness", 0.333
"2017-En-40028","	El momento del día cuándo  tienes que empezar para escayolar una sonrisa en vuestra cara . #Depresión	","sadness", 0.854
"2017-En-41473","	B día la semana que viene, coger la salsa y mirar el heaviness!	","sadness", 0.250
"2017-En-40130","	Cuándo  las semanas llenas de fin de lunes ? ? #disheartened	","sadness", 0.688
"2017-En-21456","	@username Pero tristemente  pierda algunos puntos cruciales e importantes . Terrorismo indio en pk,  kal Boshan,  etc..  Implicación cruda	","sadness", 0.563
"2017-En-40486","	@username U . S . Tiene añadió años al conflicto sirio por armar el ' rebelarse ' ejército . Creerías que que Iraq se había hundido en con Kerry .	","sadness", 0.417
"2017-En-40770","	Qué  consigues cuándo tú cruza un #árbol de manzana y un #pino ? 🍎 🌲 \ nNothing . No puedes cruzar-pollinate #árboles caducifolios #y #coníferos .	","sadness", 0.146
"2017-En-41507","	Bien no seré haciendo un unboxing del iPhone num plus en mi canal hasta que noviembre tristemente . Gracias @username @username Staten Isla NY smh	","sadness", 0.431
"2017-En-40304","	Shoutout al hombre bebido en el autobús que meado en una botella y en los asientos #siniestros	","sadness", 0.548
"2017-En-40563","	Revienta es joyless, soulless juguetes qué mirada casi idéntica.  Son la expresión perfecta de consumerism.  ' Disfruto esta franquicia'	","sadness", 0.354
"2017-En-41077","	Normalmente no soy uno para apresurarse tiempo más frío pero este año  soy tan a punto para café caliente, oscuro lippies, bufandas, suéters, &amp; botas 🍂👢☕️💄	","sadness", 0.146
"2017-En-41483","	 es todavía no hundido en aquel im viendo joe mes próximo, im tan agradecido y mierda entusiasmada	","sadness", 0.135
"2017-En-41403","	@username sí I lata . No Me desalenta .	","sadness", 0.292
"2017-En-41289","	doese Depresión de ayuda de la lectura o es otra forma de escapism	","sadness", 0.667
"2017-En-40004","	Im piensa ima poner en empotrar todo el día y sulk . La vida está pegándome a duro rn	","sadness", 0.934
"2017-En-40885","	es fácil de #caer #dormido en clase, pero duro a en cama. #Cierto  #whileyouweresleeping #insomnia #TeamFollowBack #RockTheReTweet	","sadness", 0.417
"2017-En-40580","	Corbyn pierde e I paseo hasta un llorando Corbyn seguidor y susurrar \ n \ n'no llora . Organiza ' \ n \ nAnd risa y reír	","sadness", 0.354
"2017-En-40958","	@username @username A pesar de que no espero un trumpie para entender la diferencia entre cosas reales y pretender cosas . #Triste	","sadness", 0.646
"2017-En-40075","	Buenos días personas preciosas . No yendo a mentira  he despertado sintiendo bastante glum .	","sadness", 0.754
"2017-En-41102","	Cuándo  pierdes alguien cierra a vuestro corazón te pierdes también 💔 #perdió	","sadness", 0.917
"2017-En-40680","	@username  le tenga poco pout	","sadness", 0.271
"2017-En-41168","	Dónde es algunos sitios grandes para escuchar a blues ? #nightlife #NightLifeENT #blues #Jazz #gatewayarch #stlouis #washingtonave	","sadness", 0.229
"2017-En-40163","	el odio que sabe  me tengo que levantar en medio num para gimnasio por la mañana  es tan deprimiendo	","sadness", 0.667
"2017-En-41190","	Shantosh : Qué loco  ser para andar pasado y charla a una persona diaria nunca realizando  está adoleciendo depresión o tal ? …	","sadness", 0.688
"2017-En-21355","	@username Quién   contacto sobre una experiencia impresionante con Vacaciones de Cielo Claro reservó a través de ti tipos ? ? #customerservicefail #Terrible	","sadness", 0.542
"2017-En-41491","	I sabe  he pintado bastante un cuadro siniestro de vuestras posibilidades . Pero si sencillamente estás aquí, nosotros  ambos seguramente dado.	","sadness", 0.729
"2017-En-40884","	Es fácil de #caer #dormido en clase, pero duro a en cama. #Cierto #sereno #whileyouweresleeping #insomnia #TeamFollowBack #RockTheReTweet	","sadness", 0.500
"2017-En-40444","	Candice en grande british cuece fuera con aquel pout hace mi cabeza en 👊 🏻 🙄	","sadness", 0.438
"2017-En-22137","	En algún lugar entre #esperanza y #desesperación el dia después #meetingmyabuserincourt \ n #DVSurvivor	","sadness", 0.810
"2017-En-40397","	@username  luché una chica racista y ella se quedaron en GAVC así que si consigues chutado fuera yo llama BS	","sadness", 0.479
"2017-En-40044","	el verano oficialmente acaba hoy . #Tristeza	","sadness", 0.812
"2017-En-40325","	@username soy seguro NUNCA experimentarán nuestros éxitos de último numyrs . Más  pueden esperar para es para ser otro Bournemouth #el amor del dios	","sadness", 0.542
"2017-En-40692","	triste spring.of uno dat hundido su propiedad entera para d paltry soborna,de una manzana sola–n todavía orgulloso de nuestra ascendencia?❤️🗿	","sadness", 0.271
"2017-En-41016","	@username Bk A num arriba de paquete superior midfield Reprimir cualquier estilo  poseemos matar cualesquier artistas #atenúan #reajuste #media #lenta #previsible	","sadness", 0.438
"2017-En-41130","	Y btw ... Realmente me quedé en empotrar todo el día hoy . #Depresión I odio que es lied a, joder mentirosos. -w-	","sadness", 0.896
"2017-En-40482","	@username Conseguido #mybrokenfoot corriendo Carrera Del norte Grande, no puede esperar para correr otra vez en unos cuantos tiempo de meses - ser mayoritariamente oscuro entonces! #ukrunchat	","sadness", 0.417
"2017-En-40894","	Nuestros soldados en zonas de guerra están aguantados a un nivel más alto de reglas de compromiso que nuestros agentes policiales .	","sadness", 0.583
"2017-En-40599","	En el nombre de nuestro Salvador & de Señor Harambe  rogamos, bendecir todos los  simios a través del mundo.\n\nHear Nuestro solemne oaths y perdón homínidos comprensivos.	","sadness", 0.333
"2017-En-40567","	De qué I sabe del hombre,  tengo que suponer que @realDonaldTrump ha tenido un argumento calentado con su pene propio.	","sadness", 0.354
"2017-En-41116","	Ningún #gbbo de nosotros esta noche tristemente,  tenemos una fecha con algún nachos @ODEONCinemas #BridgetJonesBaby	","sadness", 0.438
"2017-En-41312","	Muscled el hombre con corazón enorme es messing con mi cerebro y corazón . #Perdió #confundido	","sadness", 0.625
"2017-En-40938","	@username I también soy Ravenclaw . #Tristeza #shouldhavebeenhufflepuff	","sadness", 0.542
"2017-En-41012","	California sissified páginas : separación de clase gobernanta en paso a dispirit attestative código alfanumérico : WyrdljPyu	","sadness", 0.292
"2017-En-40976","	@username salaams ma'soy, cómo r u ma'soy? Mayo ALÁ protege u de tristeza, enfermedad, daño &amp; nazr-e-malo. AAMEEN. La estancia Bendita ma'soy.	","sadness", 0.312
"2017-En-41206","	Es esto el Krusty Krab ? \ n \ nNo Esto está estropeando depresión	","sadness", 0.688
"2017-En-40807","	@username @username ...  Oí charla algo es un perder . Mira cansado .	","sadness", 0.458
"2017-En-40836","	im Exhaustivamente enamorado w zen y jumin e i dont pensar id incluso tener la paciencia para cualquier de ellos irl im viejos y cansados	","sadness", 0.458
"2017-En-40126","	#haikuchallenge #haiku \ n \ nThe crisp aire de otoño \ nMy la libertad adquirida a través de muerte \ nNo uno me llorará	","sadness", 0.708
"2017-En-40073","	Novio gloom .	","sadness", 0.766
"2017-En-41038","	Cumpleaños feliz, PERDIÓ! / #Perdido #dharmainitiative #12años #22september2004 #oceánicos815	","sadness", 0.271
"2017-En-41296","	Cuándo  viene a Siria, consigo muy maldito molestado en pesimismo, gusta consigo lleno encima provocó. Optimismo o gtfo.	","sadness", 0.583
"2017-En-41330","	@username @username @username @username Tan  estuviste poseído por perdedores en Twitter #tristes	","sadness", 0.583
"2017-En-21161","	@username Lo era terrible, incluso después de que  conozca el Catfish todavía piense  fue!	","sadness", 0.542
"2017-En-40159","	@username Pero esto es no paseo fácil para unos gritos de niño : \ n'Oh, encontrarme...Me encuentro, nada más, \nWe es en un sullen páramo brumoso...'	","sadness", 0.667
"2017-En-41156","	hmm De alguna manera twitter siente realmente deprimiendo, más como negativo hoy...Pienso que perdí algo 😕	","sadness", 0.750
"2017-En-40002","	Sintiendo worthless tan siempre	","sadness", 0.958
"2017-En-41133","	 consigo avergonzado en el slightest cosas y entonces yo  fret aproximadamente él todo el día  lo odio	","sadness", 0.742
"2017-En-40804","	 siento como un apéndice . No tengo un propósito . #Deprimido #sólo #el grito #roto #solitario #hace daño #llorar #vida	","sadness", 0.833
"2017-En-41242","	NO eres vuestra lucha o Tú NO son vuestra aflicción ! #YouAreStrong & #YouAreArising Encima él todo !	","sadness", 0.271
"2017-En-41310","	Especial gracias a @username & @username para mantenernos actualizó & entretenido este dismal BB estación 💕	","sadness", 0.250
"2017-En-40848","	es básicamente una piel muerta pela cuál suena siniestro . Pero literalmente consigue librado de tanta piel muerta de vuestros poros .	","sadness", 0.354
"2017-En-41127","	sav Dice nuestra mamá ' me encantas ' y ella responds ' Oh . '	","sadness", 0.417
"2017-En-41067","	Soy a menudo perturbado por qué algunas personas encuentran apropiadas o aceptables . No es gracioso ni lindo que los adultos encuentran este material humorístico . #Triste	","sadness", 0.729
"2017-En-40553","	Algún Erykah Badu a sedate me 💕	","sadness", 0.375
"2017-En-40303","	Añadir Donte Moncrief a mi dismal la situación #bendecida .	","sadness", 0.561
"2017-En-41172","	@username @username @username @username Mirando este otra vez me hago llorar lágrimas de alegría y lágrimas de tristeza que  está ido	","sadness", 0.646
"2017-En-40773","	@username Pfft - Yeye, i soy una ventosa para brillante amarillo, rojo, rosa, y blues cuándo  viene a coloring o fondos haaa	","sadness", 0.146
"2017-En-41126","	sav dice nuestra mamá ' me encantas ' y ella responds ' Oh . ' #Triste	","sadness", 0.667
"2017-En-41494","	@username el hombre imagina # Ultra está promoviendo carnaval .  Pienso u necesidad de ser el presidente #serio . La causa soy oído nada	","sadness", 0.542
"2017-En-40301","	 lloro la creatividad perdió .	","sadness", 0.562
"2017-En-41085","	Don King ... Sus acciones realmente me entristecen hoy ... La palabra ' poder no ' tener el mismo poder a todo tan una vez haga, yo todavía cringe cuándo i oírlo	","sadness", 0.667
"2017-En-40515","	@username @username @username @username Te no puede ser serio . Este hombre No practica ninguna religión . Sólo en iglesia campaignin	","sadness", 0.396
"2017-En-40112","	@username   pensamos los tragos y los vencejos han ido ? Foto'd num hace noches, no visto desde entonces. #Otoño #triste	","sadness", 0.729
"2017-En-41121","	no consigo que mis padres literalmente no ven qué infelices I ser últimamente	","sadness", 0.792
